date,machine_id,cycle_time,downtime,production_count
2024-01-01,M1,11.7,2.02,199.0
2024-01-01,M2,14.1,1.56,258.7
2024-01-01,M3,9.82,0.89,320.7
2024-01-01,M4,18.23,2.98,354.7
2024-01-01,M5,13.95,2.51,414.8
2024-01-01,M6,13.45,2.0,474.3
2024-01-02,M1,11.9,2.02,199.2
2024-01-02,M2,14.98,1.48,259.5
2024-01-02,M3,9.86,1.01,319.6
2024-01-02,M4,18.49,2.97,354.8
2024-01-02,M5,14.69,2.49,414.4
2024-01-02,M6,12.39,1.87,475.7
2024-01-03,M1,11.68,1.99,199.6
2024-01-03,M2,14.55,1.57,258.7
2024-01-03,M3,10.21,0.97,320.0
2024-01-03,M4,17.58,2.83,356.2
2024-01-03,M5,14.06,2.32,416.0
2024-01-03,M6,12.65,1.92,475.3
2024-01-04,M1,12.11,1.99,199.5
2024-01-04,M2,15.15,1.51,259.2
2024-01-04,M3,9.93,0.89,320.3
2024-01-04,M4,18.72,2.97,354.4
2024-01-04,M5,13.79,2.46,415.0
2024-01-04,M6,13.07,1.86,475.8
2024-01-05,M1,12.24,2.01,159.6
2024-01-05,M2,15.38,1.43,210.3
2024-01-05,M3,10.06,0.87,261.0
2024-01-05,M4,17.56,2.91,285.6
2024-01-05,M5,14.46,2.46,334.8
2024-01-05,M6,13.2,1.75,386.9
2024-01-06,M1,11.96,1.89,160.4
2024-01-06,M2,14.92,1.48,210.0
2024-01-06,M3,10.31,1.07,258.5
2024-01-06,M4,18.09,2.92,285.2
2024-01-06,M5,13.25,2.48,334.6
2024-01-06,M6,12.56,1.88,385.7
2024-01-07,M1,12.13,1.98,199.9
2024-01-07,M2,14.34,1.61,258.6
2024-01-07,M3,10.54,0.93,320.2
2024-01-07,M4,17.93,3.15,353.2
2024-01-07,M5,14.47,2.61,413.0
2024-01-07,M6,12.53,1.96,475.0
2024-01-08,M1,11.65,1.93,200.2
2024-01-08,M2,14.48,1.62,258.3
2024-01-08,M3,10.85,1.11,318.4
2024-01-08,M4,18.37,3.0,354.6
2024-01-08,M5,14.4,2.63,413.7
2024-01-08,M6,12.88,1.95,474.9
2024-01-09,M1,12.21,2.01,199.5
2024-01-09,M2,14.79,1.63,258.0
2024-01-09,M3,10.41,1.05,319.3
2024-01-09,M4,17.4,2.86,356.0
2024-01-09,M5,14.11,2.52,414.3
2024-01-09,M6,12.45,1.82,476.2
2024-01-10,M1,12.05,1.91,200.3
2024-01-10,M2,14.49,1.62,258.4
2024-01-10,M3,9.95,0.91,320.6
2024-01-10,M4,18.53,2.94,355.2
2024-01-10,M5,14.52,2.53,413.8
2024-01-10,M6,12.82,1.87,475.7
2024-01-11,M1,11.93,1.97,199.7
2024-01-11,M2,15.36,1.46,259.7
2024-01-11,M3,10.38,0.93,319.9
2024-01-11,M4,17.88,3.09,353.2
2024-01-11,M5,14.06,2.46,415.1
2024-01-11,M6,12.74,1.82,476.2
2024-01-12,M1,12.28,1.97,159.8
2024-01-12,M2,15.13,1.49,209.6
2024-01-12,M3,10.09,0.97,259.8
2024-01-12,M4,18.02,2.99,284.9
2024-01-12,M5,14.36,2.48,334.7
2024-01-12,M6,13.26,1.86,385.8
2024-01-13,M1,11.98,1.98,159.4
2024-01-13,M2,15.1,1.56,209.1
2024-01-13,M3,9.58,1.06,258.4
2024-01-13,M4,18.21,2.97,284.6
2024-01-13,M5,14.05,2.4,335.5
2024-01-13,M6,12.91,1.89,385.7
2024-01-14,M1,11.96,1.99,199.9
2024-01-14,M2,14.72,1.58,259.0
2024-01-14,M3,10.07,0.94,320.4
2024-01-14,M4,18.2,3.03,354.4
2024-01-14,M5,13.99,2.52,413.9
2024-01-14,M6,12.46,1.88,475.6
2024-01-15,M1,12.11,2.02,199.1
2024-01-15,M2,14.69,1.54,259.0
2024-01-15,M3,10.04,1.0,319.6
2024-01-15,M4,18.19,2.98,354.7
2024-01-15,M5,14.0,2.57,414.3
2024-01-15,M6,12.97,1.87,475.7
2024-01-16,M1,12.0,2.0,199.5
2024-01-16,M2,14.73,1.55,258.8
2024-01-16,M3,9.9,1.01,319.7
2024-01-16,M4,17.91,2.94,355.2
2024-01-16,M5,14.26,2.54,414.1
2024-01-16,M6,12.54,1.84,476.1
2024-01-17,M1,11.8,2.03,199.2
2024-01-17,M2,14.68,1.5,259.5
2024-01-17,M3,9.78,0.96,320.1
2024-01-17,M4,18.28,2.99,354.6
2024-01-17,M5,14.11,2.46,414.7
2024-01-17,M6,13.07,1.83,476.2
2024-01-18,M1,12.06,2.0,199.4
2024-01-18,M2,14.93,1.47,259.6
2024-01-18,M3,10.05,0.98,319.4
2024-01-18,M4,17.75,3.0,354.1
2024-01-18,M5,13.84,2.46,415.2
2024-01-18,M6,13.02,1.79,476.5
2024-01-19,M1,12.35,1.97,159.9
2024-01-19,M2,14.94,1.48,209.7
2024-01-19,M3,10.11,0.97,259.9
2024-01-19,M4,18.23,2.92,285.5
2024-01-19,M5,14.16,2.51,334.5
2024-01-19,M6,13.12,1.82,386.2
2024-01-20,M1,11.85,1.96,159.7
2024-01-20,M2,15.03,1.5,209.7
2024-01-20,M3,9.76,1.05,258.7
2024-01-20,M4,17.89,2.98,284.5
2024-01-20,M5,13.97,2.42,335.3
2024-01-20,M6,12.99,1.84,386.2
2024-01-21,M1,12.16,2.0,199.7
2024-01-21,M2,14.52,1.54,259.3
2024-01-21,M3,10.3,0.9,320.6
2024-01-21,M4,18.13,3.01,354.6
2024-01-21,M5,13.88,2.54,413.7
2024-01-21,M6,12.72,1.8,476.5
2024-01-22,M1,11.9,1.99,199.4
2024-01-22,M2,14.57,1.54,259.1
2024-01-22,M3,10.08,1.02,319.3
2024-01-22,M4,18.03,2.99,354.7
2024-01-22,M5,14.1,2.54,414.6
2024-01-22,M6,13.06,1.84,476.0
2024-01-23,M1,11.99,2.04,199.2
2024-01-23,M2,14.63,1.53,258.9
2024-01-23,M3,9.85,1.03,319.5
2024-01-23,M4,18.08,2.94,355.1
2024-01-23,M5,14.12,2.56,413.9
2024-01-23,M6,12.48,1.86,475.9
2024-01-24,M1,11.87,2.03,199.2
2024-01-24,M2,14.68,1.5,259.6
2024-01-24,M3,9.82,0.94,320.4
2024-01-24,M4,17.97,3.01,354.5
2024-01-24,M5,14.12,2.5,414.2
2024-01-24,M6,13.15,1.84,476.2
2024-01-25,M1,11.99,2.02,199.3
2024-01-25,M2,14.92,1.49,259.4
2024-01-25,M3,10.13,1.0,319.2
2024-01-25,M4,17.9,2.96,354.5
2024-01-25,M5,13.85,2.49,414.9
2024-01-25,M6,13.0,1.78,476.6
2024-01-26,M1,12.28,1.97,159.9
2024-01-26,M2,15.06,1.49,209.6
2024-01-26,M3,10.14,0.97,259.9
2024-01-26,M4,18.13,2.96,285.2
2024-01-26,M5,14.12,2.53,334.3
2024-01-26,M6,13.17,1.82,386.3
2024-01-27,M1,11.9,1.97,159.7
2024-01-27,M2,15.05,1.52,209.5
2024-01-27,M3,9.7,1.05,258.6
2024-01-27,M4,17.96,2.98,284.5
2024-01-27,M5,14.08,2.44,335.1
2024-01-27,M6,12.97,1.83,386.3
2024-01-28,M1,12.1,1.98,200.0
2024-01-28,M2,14.58,1.57,259.0
2024-01-28,M3,10.2,0.94,320.4
2024-01-28,M4,18.19,3.04,354.3
2024-01-28,M5,13.85,2.57,413.4
2024-01-28,M6,12.72,1.8,476.5
2024-01-29,M1,11.9,1.98,199.5
2024-01-29,M2,14.7,1.54,259.1
2024-01-29,M3,10.08,1.01,319.5
2024-01-29,M4,18.13,2.99,354.7
2024-01-29,M5,14.11,2.55,414.5
2024-01-29,M6,13.08,1.84,476.1
2024-01-30,M1,11.94,2.04,199.2
2024-01-30,M2,14.74,1.54,258.8
2024-01-30,M3,9.92,1.05,319.3
2024-01-30,M4,17.99,2.93,355.3
2024-01-30,M5,14.26,2.55,413.9
2024-01-30,M6,12.48,1.84,476.1
